source,semantics,operator,model_degree,model_name,n_points,intercept,coef_b,coef_b2,r2,adjusted_r2,rmse
native,DelayedQualitative,F,0,constant,51,0.17580382352941182,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.005521539504365597
native,DelayedQualitative,G,0,constant,51,0.17286562745098039,0.0,0.0,0.0,0.0,0.005260873497742217
native,DelayedQualitative,U,1,linear,51,1.3444877371398083,0.0054529406232568375,0.0,0.9964817071977516,0.9964099053038282,0.4769230584011015
native,DelayedQuantitative,F,0,constant,51,0.355362254901961,0.0,0.0,0.0,0.0,0.03528639130607738
native,DelayedQuantitative,G,0,constant,51,0.4095178431372551,0.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.047668127582180954
native,DelayedQuantitative,U,1,linear,51,1.8281449056916441,0.00893480538826932,0.0,0.9968603510222764,0.9967962765533434,0.7380651694703555
native,EagerQualitative,F,0,constant,51,0.13988878431372553,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0008261691018502076
native,EagerQualitative,G,0,constant,51,0.13902060784313727,0.0,0.0,0.0,0.0,0.0010310527853669735
native,EagerQualitative,U,1,linear,51,0.41607360159752915,0.0011896982244729536,0.0,0.9788542918446312,0.978422746780236,0.25738019924138184
native,Rosi,F,1,linear,11,-4.988893652643475,0.08755740795838533,0.0,0.9940018286879838,0.9933353652088709,2.149866144058439
native,Rosi,G,1,linear,11,-8.18998554198521,0.11412718286890323,0.0,0.989553487123594,0.9883927634706601,3.706447181752912
native,Rosi,U,2,quadratic,11,-4.966457630936508,0.27427704380619944,0.004087793211732255,0.9999805791834994,0.9999757239793742,6.283611034992015
python,DelayedQualitative,F,0,constant,51,0.267338160097962,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.008412750730937288
python,DelayedQualitative,G,0,constant,51,0.26130902949028634,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.007844411967086398
python,DelayedQualitative,U,1,linear,51,1.0637146168251783,0.005642197770079558,0.0,0.9916304995692934,0.9914596934380545,0.7629733383126425
python,DelayedQuantitative,F,0,constant,51,0.4305501124117634,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.03495480402700866
python,DelayedQuantitative,G,0,constant,51,0.4744863290392434,0.0,0.0,2.220446049250313e-16,3.3306690738754696e-16,0.048247064164785816
python,DelayedQuantitative,U,1,linear,51,1.6096537761416532,0.008730327890391232,0.0,0.9971977942034116,0.9971406063300118,0.6812023555418067
python,EagerQualitative,F,0,constant,51,0.24685885519613082,0.0,0.0,0.0,0.0,0.004738629028752401
python,EagerQualitative,G,0,constant,51,0.24035789399988744,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.005076405213290475
python,EagerQualitative,U,1,linear,51,0.5797075181333533,0.0011595580023701613,0.0,0.9870856240856312,0.9868220653935011,0.19522615588408002
python,Rosi,F,1,linear,11,-4.767844401995187,0.08571668013669277,0.0,0.9939236208375885,0.9932484675973206,2.1184291920464453
python,Rosi,G,1,linear,11,-7.853581570480489,0.11202030211748383,0.0,0.9897120616453415,0.9885689573837129,3.6100163428491974
python,Rosi,U,2,quadratic,11,3.9107544223398585,0.20424189643311036,0.004071890135794435,0.9999740476303227,0.9999675595379034,7.128172292626397
